verb_class,TokenSet,pictures showing (in)complete scenrios,subject,verb,result,le,Num_CL,object,period,target sentences,response,scenario,,
V,1,complete,他,吃,,了,一塊,餅乾,。,他吃了一塊餅乾。,T,He ate a piece of cookie ,a cookie fully eaten,
V,1,incomplete,他,吃,,了,一塊,餅乾,。,他吃了一塊餅乾。,T,He had a bite of a piece of cookie,a cookie half eaten,
RVC,1,complete,他,吃,完,了,一塊,餅乾,。,他吃完了一塊餅乾。,T,He finished a piece of cookie ,a cookie fully eaten,
RVC,1,incomplete,他,吃,完,了,一塊,餅乾,。,他吃完了一塊餅乾。,F,He finished a piece of cookie ,a cookie fully eaten,
V,2,complete,他,清掃,,了,一間,房間,。,他清掃了一間房間。,T,He cleaned a room.,a room fully cleaned,
V,2,incomplete,他,清掃,,了,一間,房間,。,他清掃了一間房間。,T,He cleaned a part of a room.,a room half cleaned,
RVC,2,complete,他,清掃,完,了,一間,房間,。,他清掃完了一間房間。,T,He finished cleaning a room,a room fully cleaned,
RVC,2,incomplete,他,清掃,完,了,一間,房間,。,他清掃完了一間房間。,F,He finished cleaning a room,a room fully cleaned,
,3,complete,他,拆,,了,一個,玩具,。,他拆了一個玩具。,T,He dissambled a toy,a toy fully dissambled,
,3,incomplete,他,拆,,了,一個,玩具,。,他拆了一個玩具。,T,He dissambled a part of a toy,a toy half dissambled,
,3,complete,他,拆,開,了,一個,玩具,。,他拆開了一個玩具。,T,He dssambled every piece of a toy,a toy fully dissambled,
,3,incomplete,他,拆,開,了,一個,玩具,。,他拆開了一個玩具。,F,He dssambled every piece of a toy,a toy fully dissambled,
,4,complete,他,讀,,了,一本,小說,。,他讀了一本小說。,T,He read a whole novel,a book fully read,
,4,incomplete,他,讀,,了,一本,小說,。,他讀了一本小說。,T,He read part of a novel,a book half read,
,4,complete,他,讀,完,了,一本,小說,。,他讀完了一本小說。,T,He finished reading a novel,a book fully read,
,4,incomplete,他,讀,完,了,一本,小說,。,他讀完了一本小說。,F,He finished reading a novel,a book fully read,
,5,complete,他,寫,,了,一首,詩,。,他寫了一首詩。,T,He wrote a poem,a poem fully written,
,5,incomplete,他,寫,,了,一首,詩,。,他寫了一首詩。,T,He wrote part of a poem,a poem half written,
,5,complete,他,寫,完,了,一首,詩,。,他寫完了一首詩。,T,He finshed writing a poem,a poem fully written,
,5,incomplete,他,寫,完,了,一首,詩,。,他寫完了一首詩。,F,He finshed writing a poem,a poem fully written,
,6,complete,他,爬,,了,一座,山,。,他爬了一座山。,T,fully climbed onto the top of a mountain?,好像不能說 a mounatin fully comblined …,
,6,incomplete,他,爬,,了,一座,山,。,他爬了一座山。,T,climbed half of a mounatin,,
,6,complete,他,爬,上,了,一座,山,。,他爬上了一座山。,T,fully climbed onto the top of a mountain?,,
,6,incomplete,他,爬,上,了,一座,山,。,他爬上了一座山。,F,fully climbed onto the top of a mountain?,,
,7,complete,他,整理,,了,一個,書包,。,他整理了一個書包。,T,He tided up a schoolbag,a schoolbag fully organized,
,7,incomplete,他,整理,,了,一個,書包,。,他整理了一個書包。,T,He tidied up a part of a schoolbag,a schoolbad half organized,
,7,complete,他,整理,好,了,一個,書包,。,他整理好了一個書包。,T,,a schoolbag fully organized,
,7,incomplete,他,整理,好,了,一個,書包,。,他整理好了一個書包。,F,,a schoolbag fully organized,
,8,complete,他,切,,了,一顆,洋蔥,。,他切了一顆洋蔥。,T,,an onion fully sliced ,
